,btc_open,btc_high,btc_low,btc_close,btc_volume,eth_open,eth_high,eth_low,eth_close,eth_volume,nasdaq_open,nasdaq_high,nasdaq_low,nasdaq_close,nasdaq_volume,sp500_close,btc_return,btc_return_30d,btc_volatility_30d,btc_drawdown,btc_crash_flag,btc_boom_flag,btc_convexity,btc_liquidity_cost,eth_return,eth_return_30d,eth_volatility_30d,eth_drawdown,eth_crash_flag,eth_boom_flag,eth_convexity,eth_liquidity_cost,nasdaq_return,nasdaq_return_30d,nasdaq_volatility_30d,nasdaq_drawdown,nasdaq_crash_flag,nasdaq_boom_flag,nasdaq_convexity,nasdaq_liquidity_cost,corr_btc_nasdaq_30d,corr_eth_nasdaq_30d,risk_ratio_btc_vs_nasdaq
2021-02-13,47298.15,48150.0,46202.53,47153.69,63768.097399,,,,,,13718.2,13827.6,13653.7,13826.4,0.0,3934.83,-0.0028318206041328953,0.2046057555978491,0.05743811544998678,-0.017007053021804885,0,0,0.04130047934742755,22518330.47708931,,,,,0,0,,,0.0,0.07075979462079962,0.011944160345359162,0.0,0,0,0.012577388184921573,0.0,0.16738240371212001,,4.808882809705073
2021-02-14,47156.78,49707.43,47014.17,48577.79,73735.475533,,,,,,13718.2,13827.6,13653.7,13826.4,0.0,3934.83,0.03020124193885998,0.3221245205107366,0.05605367901344559,0.0,0,0,0.055442209289471626,2441470.8265164495,,,,,0,0,,,0.0,0.08236067729738616,0.011697517044620994,0.0,0,0,0.012577388184921573,0.0,0.12311994164916255,,4.791925575348115
2021-02-15,48580.47,49010.92,45570.79,47911.1,79398.156784,,,,,,13830.9,13885.9,13813.9,13879.4,0.0,3934.83,-0.013724173125208128,0.33104949634643477,0.055939802820847165,-0.01372417312520809,0,0,0.07180235895230953,5785273.77984079,,,,,0,0,,,0.0038332465428456697,0.08650963262174849,0.011687847400359662,0.0,0,0,0.005187544130149719,0.0,0.11752108375219916,,4.786146930499492
2021-02-16,47911.1,50689.18,47003.62,49133.45,88813.266298,,,,,,13872.0,13907.8,13724.1,13762.3,0.0,3932.59,0.025512876974229215,0.37134680915614626,0.0559193805504064,0.0,0,0,0.07501121944418716,3481113.9322535717,,,,,0,0,,,-0.008436964133896274,0.07734278982018594,0.011858693387859427,-0.008436964133896304,0,0,0.013348059553998889,0.0,0.10551858069422308,,4.715471727512379
2021-02-17,49133.45,52618.74,48947.0,52119.71,85743.637818,,,,,,13756.9,13789.3,13548.5,13702.7,0.0,3931.33,0.060778553103842725,0.4228201752218803,0.05659925044254015,0.0,0,1,0.07044820471948132,1410754.605558927,,,,,0,0,,,-0.004330671472064895,0.06846997177299885,0.011921360150100568,-0.012731097886075689,0,0,0.017573179008516515,0.0,0.08636417203013366,,4.747713537110722
2021-02-18,52117.67,52530.0,50901.9,51552.6,60758.046954,,,,,,13699.6,13726.2,13472.8,13643.7,0.0,3913.97,-0.01088091242257494,0.43634605306160323,0.056434332455833514,-0.010880912422574888,0,0,0.03158133634385072,5583905.903781068,,,,,0,0,,,-0.004305720770359178,0.046023276139656843,0.01164278999122544,-0.016982002103837265,0,0,0.018572674567749324,0.0,0.12340727782493977,,4.8471443723472944
2021-02-19,51552.61,56368.0,50710.2,55906.0,79659.77802,,,,,,13638.3,13732.3,13539.0,13575.7,0.0,3906.71,0.08444578934913083,0.5762275140315711,0.05766094560093935,0.0,0,1,0.10120201767252178,943324.3409853508,,,,,0,0,,,-0.004983985282584591,0.020453110436272848,0.011165490501541878,-0.021881349337867555,0,0,0.014238676458672427,0.0,0.1304210278297018,,5.164206082206237
2021-02-20,55906.0,57700.46,53863.93,55841.19,80948.205314,,,,,,13638.3,13732.3,13539.0,13575.7,0.0,3906.71,-0.0011592673416090937,0.8100795685463886,0.05070693135547959,-0.0011592673416090879,0,0,0.06870430232593537,69826436.18449639,,,,,0,0,,,0.0,0.012288511583860906,0.011079687397547028,-0.021881349337867555,0,0,0.014238676458672427,0.0,0.21855216335464334,,4.5765628370595905
2021-02-21,55841.19,58352.8,55477.59,57408.57,58166.708511,,,,,,13638.3,13732.3,13539.0,13575.7,0.0,3906.71,0.02806852790923675,0.7425489077761627,0.04995608622752819,0.0,0,0,0.050083288958425655,2072309.883011704,,,,,0,0,,,0.0,0.015651067968428523,0.011057228746787152,-0.021881349337867555,0,0,0.014238676458672427,0.0,0.23338839460603597,,4.517953113931242
2021-02-22,57412.35,57508.47,47622.0,54087.67,134019.434944,,,,,,13596.6,13632.2,13216.9,13224.4,0.0,3876.5,-0.05784676399359889,0.6861297462435314,0.05127428762972249,-0.05784676399359889,1,0,0.18278602128729157,2316800.5005573877,,,,,0,0,,,-0.025877118675280197,-0.010631055250065469,0.012067033742943939,-0.04719224173955647,0,0,0.031404071262212355,0.0,0.3198644246850428,,4.249117573614874
