,btc_open,btc_high,btc_low,btc_close,btc_volume,eth_open,eth_high,eth_low,eth_close,eth_volume,nasdaq_open,nasdaq_high,nasdaq_low,nasdaq_close,nasdaq_volume
2021-01-08 00:00:00,39432.48,39699.87,36500.0,38347.1,23563.558207,,,,,,12935.9,12985.7,12930.9,12976.4,0.0
2021-01-08 04:00:00,38347.11,39143.8,37563.92,38930.55,17678.05242,,,,,,12976.4,12989.7,12958.2,12979.2,0.0
2021-01-08 08:00:00,38929.56,41500.45,38222.0,41286.67,26858.313228,,,,,,12979.0,13004.5,12960.3,12991.1,0.0
2021-01-08 12:00:00,41286.67,41950.0,39777.0,40829.08,29703.863861,,,,,,12991.2,13026.5,12980.7,13008.8,0.0
2021-01-08 16:00:00,40829.07,41600.0,39800.0,40365.09,20523.08366,,,,,,13008.8,13077.5,12966.9,13045.6,0.0
2021-01-08 20:00:00,40365.09,40937.77,38652.0,40582.81,21463.086123,,,,,,13045.7,13137.1,12940.1,13135.4,0.0
2021-01-09 00:00:00,40586.96,40976.13,39500.0,40211.59,13875.82436,,,,,,13045.7,13137.1,12940.1,13135.4,0.0
2021-01-09 04:00:00,40209.91,40490.0,38720.0,39638.61,12464.021144,,,,,,13045.7,13137.1,12940.1,13135.4,0.0
2021-01-09 08:00:00,39639.21,41237.44,39290.86,40565.77,14548.756541,,,,,,13045.7,13137.1,12940.1,13135.4,0.0
2021-01-09 12:00:00,40565.77,41380.0,40200.0,40525.15,13783.07301,,,,,,13045.7,13137.1,12940.1,13135.4,0.0
2021-01-09 16:00:00,40525.16,40880.0,39869.0,40665.91,10121.055377,,,,,,13045.7,13137.1,12940.1,13135.4,0.0
2021-01-09 20:00:00,40665.91,40781.69,39928.91,40088.22,10993.249243,,,,,,13045.7,13137.1,12940.1,13135.4,0.0
2021-01-10 00:00:00,40088.22,41350.0,40087.15,40316.64,11827.445704,,,,,,13045.7,13137.1,12940.1,13135.4,0.0
2021-01-10 04:00:00,40320.67,41073.26,40050.0,40978.57,9169.85114,,,,,,13045.7,13137.1,12940.1,13135.4,0.0
2021-01-10 08:00:00,40978.57,41060.0,38888.0,39181.76,18823.288303,,,,,,13045.7,13137.1,12940.1,13135.4,0.0
2021-01-10 12:00:00,39175.09,40126.0,38450.0,39671.81,17148.669684,,,,,,13045.7,13137.1,12940.1,13135.4,0.0
2021-01-10 16:00:00,39671.82,39757.55,37111.0,37456.77,26106.908154,,,,,,13045.7,13137.1,12940.1,13135.4,0.0
2021-01-10 20:00:00,37472.4,39000.0,35111.11,38150.02,35133.381518,,,,,,13045.7,13137.1,12940.1,13135.4,0.0
2021-01-11 00:00:00,38150.02,38264.74,33600.0,35438.23,37334.824103,,,,,,13094.7,13117.2,13054.6,13061.7,0.0
2021-01-11 04:00:00,35438.23,35999.95,32538.0,34375.34,45091.05878,,,,,,13061.7,13075.3,13030.8,13050.8,0.0
2021-01-11 08:00:00,34372.25,36360.0,34020.0,34198.56,27495.319644,,,,,,13050.6,13086.5,13037.3,13048.3,0.0
2021-01-11 12:00:00,34198.55,35110.0,31115.0,31580.0,57121.745353,,,,,,13047.2,13069.9,12983.4,12994.2,0.0
